
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. BaseDesign, 5560, 9955, 1344, 0, 2, 24, 8, 8, 8
.	. COREAHBTOAPB3_0, 99, 41, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_24s_0s, 99, 41, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 21, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBL_0, 90, 288, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBL_0_CoreAHBL_0_0_CoreAHBLite_Z5, 90, 288, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_256_0_0_0s, 90, 288, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_0s_0_1_0, 28, 74, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_ADDRDEC_Z1, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_256_0s_0_1_0, 44, 109, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 4, 41, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_2, 3, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 14, 64, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1, 13, 30, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_0, 0, 60, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z6, 0, 60, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 53, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_IN, 8, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_IN_CoreGPIO_IN_0_CoreGPIO_Z7, 8, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_OUT, 4, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_OUT_CoreGPIO_OUT_0_CoreGPIO_Z8, 4, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreJTAGDebug_0, 17, 116, 0, 0, 0, 0, 0, 3, 0
.	.	. COREJTAGDEBUG_Z9, 17, 116, 0, 0, 0, 0, 0, 3, 0
.	.	.	. COREJTAGDEBUG_UJTAG_WRAPPER, 0, 1, 0, 0, 0, 0, 0, 2, 0
.	.	.	. COREJTAGDEBUG_UJ_JTAG_24s_0s_34s_85_0_0, 17, 114, 0, 0, 0, 0, 0, 1, 0
.	. CoreTimer_0, 118, 90, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_24s_0s_1, 118, 90, 44, 0, 0, 0, 0, 0, 0
.	. CoreTimer_1, 118, 89, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_24s_0s, 118, 89, 44, 0, 0, 0, 0, 0, 0
.	. CoreUARTapb_0, 114, 139, 19, 0, 0, 0, 0, 0, 0
.	.	. CoreUARTapb_0_CoreUARTapb_0_0_CoreUARTapb_Z10, 114, 139, 19, 0, 0, 0, 0, 0, 0
.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_COREUART_0s_0s_0s_24s_0s_0s, 90, 112, 19, 0, 0, 0, 0, 0, 0
