Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,RCOSC_50MHZ
COREAHBTOAPB3_0_inst_0/COREAHBTOAPB3_0_0/U_AhbToApbSM/Primitives,22,9,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0_inst_0/COREAHBTOAPB3_0_0/U_ApbAddrData/Primitives,21,88,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0_inst_0/COREAHBTOAPB3_0_0/U_PenableScheduler/Primitives,2,2,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/Primitives,18,0,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/UCC/Primitives,161,129,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/UCC/UCLKMUX1/Primitives,1,0,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/UCON/Primitives,4,0,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/URF/Primitives,73,43,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/URXF/Primitives,34,18,36,36,0,1,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/UTXF/Primitives,38,18,36,36,0,1,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/masterstage_0/Primitives,67,27,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/masterstage_0/address_decode/Primitives,1,0,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,2,1,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/masterstage_1/Primitives,92,43,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/masterstage_1/default_slave_sm/Primitives,4,1,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/slavestage_7/Primitives,46,1,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/slavestage_7/slave_arbiter/Primitives,17,13,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/slavestage_8/Primitives,51,1,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/slavestage_8/slave_arbiter/Primitives,4,3,0,0,0,0,0,0,0,0,0
CoreAPB3_0_inst_0/CoreAPB3_0_0/Primitives,9,0,0,0,0,0,0,0,0,0,0
CoreAPB3_0_inst_0/CoreAPB3_0_0/u_mux_p_to_b3/Primitives,53,0,0,0,0,0,0,0,0,0,0
CoreGPIO_IN_inst_0/CoreGPIO_IN_0/Primitives,3,8,0,0,0,0,0,0,0,0,0
CoreGPIO_OUT_inst_0/CoreGPIO_OUT_0/Primitives,1,3,0,0,0,0,0,0,0,0,0
CoreJTAGDebug_0_inst_0/CoreJTAGDebug_0_0/Primitives,1,0,0,0,0,0,0,0,0,0,0
CoreJTAGDebug_0_inst_0/CoreJTAGDebug_0_0/genblk1.genblk1.genblk1.UJTAG_inst/Primitives,0,0,0,0,0,0,0,0,0,2,0
CoreJTAGDebug_0_inst_0/CoreJTAGDebug_0_0/genblk3.genblk1.UJ_JTAG/Primitives,115,17,0,0,0,0,0,0,0,1,0
CoreTimer_0_inst_0/CoreTimer_0_0/Primitives,133,118,0,0,0,0,0,0,0,0,0
CoreTimer_1_inst_0/CoreTimer_1_0/Primitives,134,118,0,0,0,0,0,0,0,0,0
CoreUARTapb_0_inst_0/CoreUARTapb_0_0/CUARTlOlI/CUARTIO1/Primitives,27,21,0,0,0,0,0,0,0,0,0
CoreUARTapb_0_inst_0/CoreUARTapb_0_0/CUARTlOlI/CUARTO01/Primitives,74,41,0,0,0,0,0,0,0,0,0
CoreUARTapb_0_inst_0/CoreUARTapb_0_0/CUARTlOlI/CUARTOO1/Primitives,24,19,0,0,0,0,0,0,0,0,0
CoreUARTapb_0_inst_0/CoreUARTapb_0_0/CUARTlOlI/Primitives,6,9,0,0,0,0,0,0,0,0,0
CoreUARTapb_0_inst_0/CoreUARTapb_0_0/Primitives,27,24,0,0,0,0,0,0,0,0,0
FCCC_0_inst_0/FCCC_0_0/Primitives,0,0,0,0,0,0,0,0,1,1,0
MiV_RV32IMA_L1_AHB_0_inst_0/MiV_RV32IMA_L1_AHB_0_0/ChiselTop0/Primitives,10,7,0,0,0,0,0,0,0,0,0
MiV_RV32IMA_L1_AHB_0_inst_0/MiV_RV32IMA_L1_AHB_0_0/ChiselTop0/clint/Primitives,367,129,0,0,0,0,0,0,0,0,0
