
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. TicTacToe, 5766, 10315, 1314, 0, 2, 24, 10, 8, 11
.	. COREAHBTOAPB3_0, 99, 45, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_24s_0s, 99, 45, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 22, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 21, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. CORESPI_0, 208, 303, 26, 0, 0, 0, 2, 0, 0
.	.	. CORESPI_Z11, 208, 303, 26, 0, 0, 0, 2, 0, 0
.	.	.	. spi_32s_8s_32s_33s_1_1_1_0s, 208, 303, 26, 0, 0, 0, 2, 0, 0
.	.	.	.	. spi_chanctrl_Z10, 129, 148, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_control_8s, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_fifo_8s_32s_5_0, 18, 28, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_fifo_8s_32s_5_1, 18, 32, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_rf_32s_33s_0, 43, 73, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBL_0, 90, 284, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBL_0_CoreAHBL_0_0_CoreAHBLite_Z5, 90, 284, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_256_0_0_0s, 90, 284, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_0s_0_1_0, 28, 70, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_ADDRDEC_Z1, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_256_0s_0_1_0, 44, 96, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 4, 55, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_2, 3, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 14, 63, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1, 13, 17, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_0, 0, 62, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z6, 0, 62, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 53, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_IN, 8, 3, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_IN_CoreGPIO_IN_0_CoreGPIO_Z7, 8, 3, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_OUT, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_OUT_CoreGPIO_OUT_0_CoreGPIO_Z8, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreJTAGDebug_0, 17, 118, 0, 0, 0, 0, 0, 3, 0
.	.	. COREJTAGDEBUG_Z9, 17, 118, 0, 0, 0, 0, 0, 3, 0
.	.	.	. COREJTAGDEBUG_UJTAG_WRAPPER, 0, 1, 0, 0, 0, 0, 0, 2, 0
.	.	.	. COREJTAGDEBUG_UJ_JTAG_24s_0s_34s_85_0_0, 17, 116, 0, 0, 0, 0, 0, 1, 0
.	. CoreTimer_0, 118, 89, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_24s_0s_1, 118, 89, 44, 0, 0, 0, 0, 0, 0
.	. CoreTimer_1, 118, 90, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_24s_0s, 118, 90, 44, 0, 0, 0, 0, 0, 0
.	. CoreUARTapb_0, 114, 139, 19, 0, 0, 0, 0, 0, 0
.	.	. CoreUARTapb_0_CoreUARTapb_0_0_CoreUARTapb_Z12, 114, 139, 19, 0, 0, 0, 0, 0, 0
.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_COREUART_0s_0s_0s_24s_0s_0s, 90, 112, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_Clock_gen_0s_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_Rx_async_0s_0s_0s_1s_2s_3s, 41, 74, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_Tx_async_0s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 22, 5, 0, 0, 0, 0, 0, 0
.	. FCCC_0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. FCCC_0_FCCC_0_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. MiV_RV32IMA_L1_AHB_0, 4921, 8711, 1181, 0, 2, 8, 8, 3, 0
.	.	. MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_24576_0_0s_0s, 4921, 8711, 1181, 0, 2, 8, 8, 3, 0
.	.	.	. MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM, 4921, 8711, 1181, 0, 2, 8, 8, 3, 0
.	.	.	.	. MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_COREPLEX_LOCAL_INTERRUPTER_CLINT, 129, 174, 192, 0, 0, 0, 0, 0, 0
.	.	.	.	. MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_DEBUG_TRANSPORT_MODULE_JTAG, 168, 147, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_CAPTURE_CHAIN, 32, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN, 32, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN_1, 41, 58, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_JTAG_BYPASS_CHAIN, 1, 1, 0, 0, 0, 0, 0, 0, 0
