
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. BaseDesign, 10704, 13726, 3371, 0, 2, 24, 24, 8, 8
.	. COREAHBTOAPB3_0, 99, 47, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_24s_0s, 99, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 27, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBL_0, 105, 311, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBL_0_CoreAHBL_0_0_CoreAHBLite_Z5, 105, 311, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_256_0_0_0s, 105, 311, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_0s_0_1_0, 37, 91, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_256_0s_0_1_0, 44, 98, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 15, 71, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_2, 13, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 9, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1, 8, 11, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_0, 0, 57, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z6, 0, 57, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 57, 0, 0, 0, 0, 0, 0, 0
.	. CoreAXITOAHBL_0, 431, 1196, 80, 0, 0, 0, 8, 0, 0
.	.	. CoreAXITOAHBL_0_CoreAXITOAHBL_0_0_COREAXITOAHBL_5s_0s_0s_0s_1s_0s_64s_2s_8s, 431, 1196, 80, 0, 0, 0, 8, 0, 0
.	.	.	. COREAXITOAHBL_AHBMasterCtrl_Z8_0, 200, 868, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXIOutReg_5s_64s_8s, 13, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXISlaveCtrl_Z7_0, 80, 328, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_64s_8s, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSTRBPopCntr_64s_8s, 0, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s_0, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. CoreAXITOAHBL_1, 431, 1162, 80, 0, 0, 0, 8, 0, 0
.	.	. CoreAXITOAHBL_1_CoreAXITOAHBL_1_0_COREAXITOAHBL_5s_0s_0s_0s_1s_0s_64s_2s_8s, 431, 1162, 80, 0, 0, 0, 8, 0, 0
.	.	.	. COREAXITOAHBL_AHBMasterCtrl_Z8_1, 200, 828, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXIOutReg_5s_64s_8s_0, 13, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXISlaveCtrl_Z7_1, 80, 334, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_64s_8s_1, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSTRBPopCntr_64s_8s_1, 0, 36, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s_1, 69, 0, 0, 0, 0, 0, 4, 0, 0
