Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,RCOSC_50MHZ
COREAHBTOAPB3_0_inst_0/COREAHBTOAPB3_0_0/U_AhbToApbSM/Primitives,21,9,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0_inst_0/COREAHBTOAPB3_0_0/U_ApbAddrData/Primitives,21,88,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0_inst_0/COREAHBTOAPB3_0_0/U_PenableScheduler/Primitives,2,2,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/Primitives,18,0,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/UCC/Primitives,159,129,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/UCC/UCLKMUX1/Primitives,1,0,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/UCON/Primitives,4,0,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/URF/Primitives,73,43,0,0,0,0,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/URXF/Primitives,34,18,36,36,0,1,0,0,0,0,0
CORESPI_0_inst_0/CORESPI_0_0/USPI/UTXF/Primitives,38,18,36,36,0,1,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/masterstage_0/Primitives,50,36,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,35,1,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/masterstage_1/Primitives,72,43,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/masterstage_1/default_slave_sm/Primitives,4,1,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/slavestage_7/Primitives,44,1,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/slavestage_7/slave_arbiter/Primitives,3,3,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/slavestage_8/Primitives,54,2,0,0,0,0,0,0,0,0,0
CoreAHBL_0_inst_0/CoreAHBL_0_0/matrix4x16/slavestage_8/slave_arbiter/Primitives,17,13,0,0,0,0,0,0,0,0,0
CoreAPB3_0_inst_0/CoreAPB3_0_0/Primitives,9,0,0,0,0,0,0,0,0,0,0
CoreAPB3_0_inst_0/CoreAPB3_0_0/u_mux_p_to_b3/Primitives,53,0,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_AHBMasterCtrl/Primitives,905,200,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_AXIOutReg/Primitives,0,13,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_AXISlaveCtrl/Primitives,327,80,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_AXISlaveCtrl/U_WSRTBAddrOffset/Primitives,6,0,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,35,0,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_rdFIFORAM/Primitives,0,69,144,144,0,4,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_wrFIFORAM/Primitives,0,69,144,144,0,4,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AHBMasterCtrl/Primitives,873,200,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AXIOutReg/Primitives,0,13,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AXISlaveCtrl/Primitives,331,80,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AXISlaveCtrl/U_WSRTBAddrOffset/Primitives,7,0,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,38,0,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_rdFIFORAM/Primitives,0,69,144,144,0,4,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_wrFIFORAM/Primitives,0,69,144,144,0,4,0,0,0,0,0
CoreGPIO_IN_inst_0/CoreGPIO_IN_0/Primitives,3,8,0,0,0,0,0,0,0,0,0
CoreGPIO_OUT_inst_0/CoreGPIO_OUT_0/Primitives,1,3,0,0,0,0,0,0,0,0,0
CoreJTAGDebug_0_inst_0/CoreJTAGDebug_0_0/Primitives,1,0,0,0,0,0,0,0,0,0,0
CoreJTAGDebug_0_inst_0/CoreJTAGDebug_0_0/genblk1.genblk1.genblk1.UJTAG_inst/Primitives,0,0,0,0,0,0,0,0,0,2,0
CoreJTAGDebug_0_inst_0/CoreJTAGDebug_0_0/genblk3.genblk1.UJ_JTAG/Primitives,117,17,0,0,0,0,0,0,0,1,0
