
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. TicTacToe, 10904, 14111, 3379, 0, 2, 24, 26, 8, 11
.	. COREAHBTOAPB3_0, 99, 44, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_24s_0s, 99, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 21, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 21, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. CORESPI_0, 208, 301, 26, 0, 0, 0, 2, 0, 0
.	.	. CORESPI_Z13, 208, 301, 26, 0, 0, 0, 2, 0, 0
.	.	.	. spi_32s_8s_32s_33s_1_1_1_0s, 208, 301, 26, 0, 0, 0, 2, 0, 0
.	.	.	.	. spi_chanctrl_Z12, 129, 146, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_control_8s, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_fifo_8s_32s_5_0, 18, 28, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_fifo_8s_32s_5_1, 18, 32, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_rf_32s_33s_0, 43, 73, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBL_0, 100, 279, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBL_0_CoreAHBL_0_0_CoreAHBLite_Z5, 100, 279, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_256_0_0_0s, 100, 279, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_0s_0_1_0, 37, 85, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_256_0s_0_1_0, 44, 76, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 15, 71, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_2, 13, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 4, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1, 3, 3, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_0, 0, 62, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z6, 0, 62, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 53, 0, 0, 0, 0, 0, 0, 0
.	. CoreAXITOAHBL_0, 431, 1193, 80, 0, 0, 0, 8, 0, 0
.	.	. CoreAXITOAHBL_0_CoreAXITOAHBL_0_0_COREAXITOAHBL_5s_0s_0s_0s_1s_0s_64s_2s_8s, 431, 1193, 80, 0, 0, 0, 8, 0, 0
.	.	.	. COREAXITOAHBL_AHBMasterCtrl_Z8_0, 200, 865, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXIOutReg_5s_64s_8s, 13, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXISlaveCtrl_Z7_0, 80, 328, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_64s_8s, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSTRBPopCntr_64s_8s, 0, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s_0, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. CoreAXITOAHBL_1, 431, 1169, 80, 0, 0, 0, 8, 0, 0
.	.	. CoreAXITOAHBL_1_CoreAXITOAHBL_1_0_COREAXITOAHBL_5s_0s_0s_0s_1s_0s_64s_2s_8s, 431, 1169, 80, 0, 0, 0, 8, 0, 0
.	.	.	. COREAXITOAHBL_AHBMasterCtrl_Z8_1, 200, 833, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXIOutReg_5s_64s_8s_0, 13, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXISlaveCtrl_Z7_1, 80, 336, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_64s_8s_1, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSTRBPopCntr_64s_8s_1, 0, 38, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s_1, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s_2, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. CoreGPIO_IN, 8, 3, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_IN_CoreGPIO_IN_0_CoreGPIO_Z9, 8, 3, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_OUT, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_OUT_CoreGPIO_OUT_0_CoreGPIO_Z10, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreJTAGDebug_0, 17, 120, 0, 0, 0, 0, 0, 3, 0
.	.	. COREJTAGDEBUG_Z11, 17, 120, 0, 0, 0, 0, 0, 3, 0
.	.	.	. COREJTAGDEBUG_UJTAG_WRAPPER, 0, 1, 0, 0, 0, 0, 0, 2, 0
.	.	.	. COREJTAGDEBUG_UJ_JTAG_24s_0s_34s_85_0_0, 17, 118, 0, 0, 0, 0, 0, 1, 0
.	. CoreTimer_0, 118, 89, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_24s_0s_1, 118, 89, 44, 0, 0, 0, 0, 0, 0
.	. CoreTimer_1, 118, 90, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_24s_0s, 118, 90, 44, 0, 0, 0, 0, 0, 0
.	. CoreUARTapb_0, 114, 139, 19, 0, 0, 0, 0, 0, 0
.	.	. CoreUARTapb_0_CoreUARTapb_0_0_CoreUARTapb_Z14, 114, 139, 19, 0, 0, 0, 0, 0, 0
.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_COREUART_0s_0s_0s_24s_0s_0s, 90, 112, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_Clock_gen_0s_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
